First Author (last),First Author (first),et al.,Modern Location,Modern Latitude,Modern Longitude,Paleo-Latitude,Paleo-Longitude,Numerical Age,Period,Epoch,Age,Formation,Host Litho,Year,DOI,Title,Citation (MLA 9),Note
Adams,A. E.,-,"Monyash, Derbyshire",53.19512,-1.77485,,,,Carboniferous,-,-,Eyam Limestone,-,1980,10.1111/j.1365-3091.1980.tb01653.x,Calcrete profiles in the Eyam Limestone (Carboniferous) of Derbyshire:petrology and regional significance,"Adams, A. E. “Calcrete Profiles in the Eyam Limestone (Carboniferous) of Derbyshire: Petrology and Regional Significance.” Sedimentology, vol. 27, no. 6, 1980, pp. 651–60. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1980.tb01653.x.
",
Aissaoui,Djafar M,"Purser, Bruce H","Fnoud, Algeria",35.260556,4.636944,,,,Jurassic,Late,-,-,Ouled Nail mountains,1983,10.1111/j.1365-3091.1983.tb00670.x,Nature and origins of internal sediments in Jurassic limestones of Burgundy (France) and Fnoud (Algeria),"Aissaoui, Djafar M., and Bruce H. Purser. “Nature and Origins of Internal Sediments in Jurassic Limestones of Burgundy (Franc) and Fnoud (Algeria).” Sedimentology, vol. 30, no. 2, 1983, pp. 273–83. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1983.tb00670.x.",
Aissaoui,Djafar M,"Purser, Bruce H","Burgundy, France",47,4.499997,,,,Jurassic,Middle,-,-,Paris Basin,1983,10.1111/j.1365-3091.1983.tb00670.x,Nature and origins of internal sediments in Jurassic limestones of Burgundy (France) and Fnoud (Algeria),"Aissaoui, Djafar M., and Bruce H. Purser. “Nature and Origins of Internal Sediments in Jurassic Limestones of Burgundy (Franc) and Fnoud (Algeria).” Sedimentology, vol. 30, no. 2, 1983, pp. 273–83. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1983.tb00670.x.",
Aissaoui,Djafar M,-,"chott el Hodna, Algeria",35.296756,4.721604,,,,Jurassic,Late,-,-,Djebel Meharga,1989,10.1016/0899-5362(89)90025-0,"Paléogéographie du Jurassique supérieur au sud du choot El Hodna, Algérie","Aissaoui, Djafar M. “Paléogéographie du Jurassique supérieur au sud du choot El Hodna, Algérie.” Journal of African Earth Sciences, vol. 9, no. 3/4, 1989, pp. 413–20. Zotero, https://doi.org/10.1016/0899-5362(89).",
Alonso Zarza,A.M.,"Calvo, J.P.; García del Cura, M.A.","Argecilla, Spain",40.884167,2.816389,,,13.82-11.63,Neogene,Miocene,Serravallian,Intermediate Unit,Madrid Basin,1992,10.1016/0037-0738(92)90138-H,"Palustrine sedimentation and associated features grainification and pseudo-microkarst in the Middle Miocene (Intermediate Unit) of the Madrid Basin, Spain","Alonso Zarza, A. M., et al. “Palustrine Sedimentation and Associated Features—Grainification and Pseudo-Microkarst—in the Middle Miocene (Intermediate Unit) of the Madrid Basin, Spain.” Sedimentary Geology, vol. 76, no. 1–2, Feb. 1992, pp. 43–61. DOI.org (Crossref), https://doi.org/10.1016/0037-0738(92)90138-H.",
Armenteros,Ildefonso,-,"Adrada de Haza, Spain",41.594287,-3.8213274,,,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Armenteros,Ildefonso,,"Fuentegelmes, Spain",41.362802,-2.671756,,,,Neogene,Miocene,-,"Palustrine facies,",Almazán Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Armenteros,Ildefonso,-,"Milagros, Spain",41.576632,-3.690196,,,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Armenteros,Ildefonso,-,"Adrada de Haza, Spain",41.593444,-3.824347,,,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Ashley,Gail M.,"Driese, Steven G.","Olduvai Gorge, Tanzania",-2.993515,35.363641,,,1.75,Quaternary,Pleistocene,Calabrian,Lemuta member,Olduvai Basin,2000,10.1306/040300701065,"Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania","Ashley, G. M., and S. G. Driese. “Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania.” Journal of Sedimentary Research, vol. 70, no. 5, Sept. 2000, pp. 1065–80. DOI.org (Crossref), https://doi.org/10.1306/040300701065.",
