,X,First.Author..last.,First.Author..first.,et.al.,Modern.Latitude,Modern.Longitude,Modern.Location,Paleo.Latitude,Paleo.Longitude,Approximate.Age,Climate,Deposition.Setting,Numerical.Age,Period,Epoch,Age,Formation,Host.Litho,Year,DOI,Title,Citation..MLA.9.,Note
2,2,Aissaoui,Djafar M,"Purser, Bruce H",35.260556,4.636944,"Fnoud, Algeria",17.556,19.9499,158.155,Tropical,Coastal,,Jurassic,Late,-,A,Ouled Nail mountains,1983,10.1111/j.1365-3091.1983.tb00670.x,Nature and origins of internal sediments in Jurassic limestones of Burgundy (France) and Fnoud (Algeria),"Aissaoui, Djafar M., and Bruce H. Purser. “Nature and Origins of Internal Sediments in Jurassic Limestones of Burgundy (Franc) and Fnoud (Algeria).” Sedimentology, vol. 30, no. 2, 1983, pp. 273–83. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1983.tb00670.x.",
117,114,Schlager,Wolfgang,-,47.699382,13.116672,"Adnet, Austria",30.6853,21.1115,200.41,Tropical,Coastal-Continental,,Jurassic,Early,-,Adnet Limestone,Alpine-Mediterranean orogenic belt,1975,10.1002/9781444304855.ch4,Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors,"Schlager, Wolfgang. “Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors.” Pelagic Sediments: On Land and under the Sea, edited by Kenneth J. Hsü and Hugh C. Jenkyns, 1st ed., Wiley, 1975, pp. 49–70. DOI.org (Crossref), https://doi.org/10.1002/9781444304855.ch3.",
94,92,Nakazawa,Tsutomu,"Ueno, Katsumi; Kawahata, Hodaka; Fujikawa, Masayuki; Kashiwagi, Kenji ",34.268778,131.314028,"Yamaguchi, Japan",29.9086,146.7761,266.96,Tropical,Coastal,,Permian,Guadalupian,-,Akiyoshi Limestone,Akiyoshi accretionary complex,2009,10.1016/j.sedgeo.2008.12.003,"Facies stacking patterns in high-frequency sequences influenced by long-term sea-level change on a Permian Panthalassan oceanic atoll: An example from the Akiyoshi Limestone, SW Japan","Nakazawa, Tsutomu, et al. “Facies Stacking Patterns in High-Frequency Sequences Influenced by Long-Term Sea-Level Change on a Permian Panthalassan Oceanic Atoll: An Example from the Akiyoshi Limestone, SW Japan.” Sedimentary Geology, vol. 214, no. 1–4, Feb. 2009, pp. 35–48. DOI.org (Crossref), https://doi.org/10.1016/j.sedgeo.2008.12.003.",
95,91,Nakazawa,Tsutomu,"Ueno, Katsumi",34.269611,131.312583,"Yamaguchi, Japan",29.9099,146.7752,266.96,Tropical,Coastal,,Permian,Guadalupian,-,Akiyoshi Limestone,Akiyoshi accretionary complex,2004,10.1007/s10347-004-0012-y,"Sequence boundary and related sedimentary and diagenetic facies formed on Middle Permian mid-oceanic carbonate platform: Core observation of Akiyoshi Limestone, Southwest Japan","Nakazawa, T., and K. Ueno. “Sequence Boundary and Related Sedimentary and Diagenetic Facies Formed on Middle Permian Mid-Oceanic Carbonate Platform: Core Observation of Akiyoshi Limestone, Southwest Japan.” Facies, vol. 50, no. 2, 2004, pp. 301–11. Scopus, Scopus, https://doi.org/10.1007/s10347-004-0012-y.",
92,94,Nakazawa,Tsutomu,"Ueno, Katsumi; Nonomura, Nami; Fujikawa, Masayuki",34.26414,131.321946,"Managatake, Japan",26.7138,145.232,286.8,Tropical,Coastal,290.1-283.5,Permian,Cisuralian,Artkinskian,Akiyoshi limestones,Akiyoshi accretionary complex,2015,10.1016/j.palaeo.2014.12.015,"Microbial Community from the Lower Permian (Artinskian–Kungurian) Paleoclimatic Transition, Mid-Panthalassan Akiyoshi Atoll, Japan","Nakazawa, Tsutomu, et al. “Microbial Community from the Lower Permian (Artinskian–Kungurian) Paleoclimatic Transition, Mid-Panthalassan Akiyoshi Atoll, Japan.” Palaeogeography, Palaeoclimatology, Palaeoecology, vol. 420, Feb. 2015, pp. 116–27. DOI.org (Crossref), https://doi.org/10.1016/j.palaeo.2014.12.015.",
93,93,Nakazawa,Tsutomu,"Ueno, Katsumi; Kawahata, Hodaka; Fujikawa, Masayuki",34.26414,131.321946,"Managatake, Japan",30.4519,140.6842,301.285,Tropical,Coastal,,Carboniferous,Late,Gzhelian,Akiyoshi limestones,Akiyoshi accretionary complex,2011,10.1016/j.palaeo.2011.07.028,"Gzhelian–Asselian <i>Palaeoaplysina</i>–microencruster reef community in the Taishaku and Akiyoshi limestones, SW Japan","Nakazawa, Tsutomu, et al. “Gzhelian–Asselian Palaeoaplysina–Microencruster Reef Community in the Taishaku and Akiyoshi Limestones, SW Japan: Implications for Late Paleozoic Reef Evolution on Mid-Panthalassan Atolls.” Palaeogeography, Palaeoclimatology, Palaeoecology, vol. 310, no. 3, Oct. 2011, pp. 378–92. ScienceDirect, https://doi.org/10.1016/j.palaeo.2011.07.028.",
80,80,MacNeil,Alex J.,"Jones, Brian",60.369183,-116.375827,"NW territories, Canada",-0.9801,-62.8618,375,Arid,Continental,,Devonian,Late,-,Alexandra Formation,-,2006,10.2110/jsr.2006.028,Palustrine Deposits on a Late Devonian Coastal Plain--Sedimentary Attributes and Implications for Concepts of Carbonate Sequence Stratigraphy,"MacNeil, A. J., and B. Jones. “Palustrine Deposits on a Late Devonian Coastal Plain--Sedimentary Attributes and Implications for Concepts of Carbonate Sequence Stratigraphy.” Journal of Sedimentary Research, vol. 76, no. 2, Feb. 2006, pp. 292–309. DOI.org (Crossref), https://doi.org/10.2110/jsr.2006.028.",
114,117,Schlager,Wolfgang,-,46.750731,12.802752,"Drauzug, Austria",23.7854,35.3089,164.74,Tropical,Coastal,,Jurassic,Middle-Late,-,Ammonotico Rosso,Alpine-Mediterranean orogenic belt,1975,10.1002/9781444304855.ch7,Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors,"Schlager, Wolfgang. “Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors.” Pelagic Sediments: On Land and under the Sea, edited by Kenneth J. Hsü and Hugh C. Jenkyns, 1st ed., Wiley, 1975, pp. 49–70. DOI.org (Crossref), https://doi.org/10.1002/9781444304855.ch3.",
86,88,Moussavian,Esmail,-,47.471295,11.903907,"Rattenberg, Austria",32.6818,18.5286,57.6,Boreotropical,Coastal,59.2-56,Paleogene,Paleocene,Thanecian,Angerberg Beds,Northern Alps,1984,10.1007/BF02536688,"Die Gosau- und Alttertiär-Gerölle der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen)","Moussavian, Esmail. “Die Gosau- Und Alttertiär-Gerölle Der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen).” Facies, vol. 10, no. 1, 1984, pp. 1–85, https://doi.org/10.1007/BF02536688.",
87,90,Moussavian,Esmail,-,47.471295,11.903907,"Rattenberg, Austria",32.6818,18.5286,57.6,Boreotropical,Coastal,59.2-56,Paleogene,Paleocene,Thanecian,Angerberg Beds,Northern Alps,1984,10.1007/BF02536688,"Die Gosau- und Alttertiär-Gerölle der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen)","Moussavian, Esmail. “Die Gosau- Und Alttertiär-Gerölle Der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen).” Facies, vol. 10, no. 1, 1984, pp. 1–85, https://doi.org/10.1007/BF02536688.",
